id_corso,materia,data,ora_inizio,ora_fine,luogo,compenso_orario,stato,fatturato,mese_fatturato,cliente
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-01-23,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-24,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-24,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-01-24,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/01,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-13,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-13,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-13,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-14,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-14,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-14,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-20,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-20,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-20,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-21,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-21,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-21,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-27,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-27,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-02-27,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-28,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
